start_ip,end_ip,join_key,name,country,mcc,mnc
153.169.148.0,153.169.149.255,153.169.0.0,NTT docomo,JP,440,10
2405:204:8b::,2405:204:8c:ffff:ffff:ffff:ffff:ffff,2405:204::,Jio,IN,405,840
114.175.132.0,114.175.132.255,114.175.0.0,NTT docomo,JP,440,10
114.173.246.0,114.173.246.255,114.173.0.0,NTT docomo,JP,440,10
223.230.176.0,223.230.255.255,223.230.0.0,Airtel,IN,405,52
45.23.130.0,45.23.130.255,45.23.0.0,AT&T,US,310,410
74.57.113.0,74.57.113.255,74.57.0.0,Videotron,CA,302,500
2401:d800:bb73::,2401:d800:bb7b:ffff:ffff:ffff:ffff:ffff,2401:d800:8000::,Viettel Mobile,VN,452,04
107.255.160.94,107.255.160.94,107.255.0.0,AT&T,US,310,410
2607:fb90:e9e1::,2607:fb90:e9e1:ffff:ffff:ffff:ffff:ffff,2607:fb90:c000::,T-Mobile,US,310,260
119.83.32.0,119.83.32.255,119.83.0.0,NTT docomo,JP,440,10
2600:1702:11a0::,2600:1702:11a0:ffff:ffff:ffff:ffff:ffff,2600:1702::,Verizon,US,310,012
2607:fb90:3e0e::,2607:fb90:3e0e:ffff:ffff:ffff:ffff:ffff,2607:fb90::,T-Mobile,US,310,260
99.170.116.0,99.170.117.255,99.170.0.0,AT&T,US,310,410
2001:268:996a::,2001:268:996c:ffff:ffff:ffff:ffff:ffff,2001:268:8000::,au,JP,440,50
2600:100c:b030::,2600:100c:b038:ffff:ffff:ffff:ffff:ffff,2600:100c:8000::,Verizon,US,310,012
2402:e000:629::,2402:e000:629:ffff:ffff:ffff:ffff:ffff,2402:e000::,Telenor,PK,410,06
107.117.194.0,107.117.194.255,107.117.0.0,AT&T,US,310,410
2402:800:4354::,2402:800:4354:ffff:ffff:ffff:ffff:ffff,2402:800:4000::,Viettel Mobile,VN,452,04
2001:268:9b64::,2001:268:9b64:ffff:ffff:ffff:ffff:ffff,2001:268:8000::,au,JP,440,50
2a00:f41:488e::,2a00:f41:488f:ffff:ffff:ffff:ffff:ffff,2a00:f41:4000::,Orange,PL,260,03
37.215.25.0,37.215.25.255,37.215.0.0,MTS,BY,257,02
70.53.120.0,70.53.120.255,70.53.0.0,Bell Mobility,CA,302,610
2409:4055:2dc7::,2409:4055:2dc7:ffff:ffff:ffff:ffff:ffff,2409:4055::,Jio,IN,405,840
2001:2d8:ee4d::,2001:2d8:ee4e:ffff:ffff:ffff:ffff:ffff,2001:2d8:c000::,SKTelecom,KR,450,05
108.241.70.0,108.241.70.255,108.241.0.0,AT&T,US,310,410
201.148.236.0,201.148.236.255,201.148.0.0,Claro,BR,724,05
109.52.151.0,109.52.151.255,109.52.0.0,TIM,IT,222,01
2600:100e:bf16::,2600:100e:bf16:ffff:ffff:ffff:ffff:ffff,2600:100e:8000::,Verizon,US,310,012
149.140.38.0,149.140.39.255,149.140.0.0,Vodafone,TR,286,02
2804:14d:4482::,2804:14d:4482:ffff:ffff:ffff:ffff:ffff,2804:14d:4000::,Vivo,BR,724,06
