start_ip,end_ip,join_key,name,domain,type,asn,as_name,as_domain,as_type,country
40.139.78.0,40.139.78.7,40.139.0.0,Windstream Communications LLC,windstream.com,isp,AS7029,Windstream Communications LLC,windstream.com,isp,US
200.232.63.136,200.232.63.143,200.232.0.0,TELEFÔNICA BRASIL S.A,telefonica.com.br,isp,AS10429,TELEFÔNICA BRASIL S.A,telefonica.com.br,isp,BR
2a18:e1db:c000::,2a18:e1db:ffff:ffff:ffff:ffff:ffff:ffff,2a18:e1db:c000::,RIPE NCC,ripe.net,isp,AS3269,Telecom Italia S.p.A.,telecomitalia.com,isp,IT
2c0b:6e01:c000::,2c0b:6e01:ffff:ffff:ffff:ffff:ffff:ffff,2c0b:6e01:c000::,African Network Information Center - ( AfriNIC Ltd. ),afrinic.net,isp,AS5713,Telkom SA Ltd.,telkom.co.za,isp,MU
2001:3cd::,2001:3cd:3fff:ffff:ffff:ffff:ffff:ffff,2001:3cd::,Asia Pacific Network Information Centre,net.ru,isp,AS2497,Internet Initiative Japan Inc.,iij.ad.jp,isp,AU
2a1c:428:8000::,2a1c:428:bfff:ffff:ffff:ffff:ffff:ffff,2a1c:428:8000::,RIPE NCC,ripe.net,isp,AS3269,Telecom Italia S.p.A.,telecomitalia.com,isp,IT
35.134.136.0,35.134.136.7,35.134.0.0,Charter Communications,charter.com,isp,AS33363,"Charter Communications, Inc",charter.com,isp,US
84.252.226.204,84.252.226.207,84.252.0.0,Featherstone Associates,featherstone-associates.co.uk,business,AS8586,TalkTalk Communications Limited,talktalkbusiness.co.uk,isp,GB
90.85.253.104,90.85.253.111,90.85.0.0,OBS Customer,mrb.fr,business,AS3215,Orange S.A.,orange.com,isp,FR
93.63.251.168,93.63.251.175,93.63.0.0,GATTI AMEDEO public subnet,fastweb.it,isp,AS12874,Fastweb SpA,fastweb.it,isp,IT
2a1e:aeb4::,2a1e:aeb4:3fff:ffff:ffff:ffff:ffff:ffff,2a1e:aeb4::,RIPE NCC,ripe.net,isp,AS3269,Telecom Italia S.p.A.,telecomitalia.com,isp,IT
2a1f:f8b3:4000::,2a1f:f8b3:7fff:ffff:ffff:ffff:ffff:ffff,2a1f:f8b3:4000::,RIPE NCC,ripe.net,isp,AS3269,Telecom Italia S.p.A.,telecomitalia.com,isp,IT
67.36.203.0,67.36.203.7,67.36.0.0,PROSPECT EQUITIES-110214113044,prospectequities.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
2a1c:8ef5:c000::,2a1c:8ef5:ffff:ffff:ffff:ffff:ffff:ffff,2a1c:8ef5:c000::,RIPE NCC,ripe.net,isp,AS3269,Telecom Italia S.p.A.,telecomitalia.com,isp,IT
2a17:d77e:4000::,2a17:d77e:7fff:ffff:ffff:ffff:ffff:ffff,2a17:d77e:4000::,RIPE NCC,ripe.net,isp,AS3269,Telecom Italia S.p.A.,telecomitalia.com,isp,IT
2001:4450:4dff:ffb8::1,2001:4450:4dff:ffb8:ffff:ffff:ffff:ffff,2001:4450:4000::,Philippine Long Distance Telephone Co.,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
2a02:708:0:11a::,2a02:708:0:11a:ffff:ffff:ffff:ffff,2a02:708::,POS Solutions GmbH,ratiokontakt.de,hosting,AS8741,Ratiokontakt GmbH,ratiokontakt.de,hosting,DE
240a:41a9:4000::,240a:41a9:7fff:ffff:ffff:ffff:ffff:ffff,240a:41a9:4000::,China Broadcasting Network Corporation Ltd.,cbn.cn,business,AS9808,"China Mobile Communications Group Co., Ltd.",10086.cn,isp,CN
2a0c:64e6:c000::,2a0c:64e6:ffff:ffff:ffff:ffff:ffff:ffff,2a0c:64e6:c000::,RIPE NCC,ripe.net,isp,AS3269,Telecom Italia S.p.A.,telecomitalia.com,isp,IT
2a18:be05::,2a18:be05:3fff:ffff:ffff:ffff:ffff:ffff,2a18:be05::,RIPE NCC,ripe.net,isp,AS3269,Telecom Italia S.p.A.,telecomitalia.com,isp,IT
197.211.16.232,197.211.16.239,197.211.0.0,Huawei_Limited,wtl.co.ke,business,AS15399,Wananchi Group (Kenya) Limited,wananchi.com,isp,KE
2a1b:d1c0:8000::,2a1b:d1c0:bfff:ffff:ffff:ffff:ffff:ffff,2a1b:d1c0:8000::,RIPE NCC,ripe.net,isp,AS3269,Telecom Italia S.p.A.,telecomitalia.com,isp,IT
2c07:2c41:4000::,2c07:2c41:7fff:ffff:ffff:ffff:ffff:ffff,2c07:2c41:4000::,African Network Information Center - ( AfriNIC Ltd. ),afrinic.net,isp,AS5713,Telkom SA Ltd.,telkom.co.za,isp,MU
2a0f:cd9c::,2a0f:cd9c:3fff:ffff:ffff:ffff:ffff:ffff,2a0f:cd9c::,RIPE NCC,ripe.net,isp,AS3269,Telecom Italia S.p.A.,telecomitalia.com,isp,IT
2a04:df28:c000::,2a04:df28:ffff:ffff:ffff:ffff:ffff:ffff,2a04:df28:c000::,RIPE NCC,ripe.net,isp,AS3269,Telecom Italia S.p.A.,telecomitalia.com,isp,IT
