start_ip,end_ip,join_key,hosting,proxy,tor,vpn,relay,service
88.217.136.66,88.217.136.66,88.217.0.0,,,,true,,
195.206.41.71,195.206.41.71,195.206.0.0,,,,true,,
207.188.151.85,207.188.151.85,207.188.0.0,,,,true,,
220.236.119.163,220.236.119.163,220.236.0.0,,,,true,,
3.25.241.22,3.25.245.60,3.25.0.0,true,,,,,
2a0f:c943:c000::,2a0f:c943:ffff:ffff:ffff:ffff:ffff:ffff,2a0f:c943:c000::,true,,,,,
84.232.146.36,84.232.146.36,84.232.0.0,,,,true,,
69.74.35.210,69.74.35.210,69.74.0.0,,,,true,,
93.227.246.123,93.227.246.123,93.227.0.0,,,,true,,
91.62.247.247,91.62.247.247,91.62.0.0,,,,true,,
124.49.114.243,124.49.114.243,124.49.0.0,,,,true,,
52.192.207.242,52.192.208.115,52.192.0.0,true,,,,,
15.164.64.1,15.164.64.61,15.164.0.0,true,,,,,
84.112.33.174,84.112.33.174,84.112.0.0,,,,true,,
67.168.173.84,67.168.173.84,67.168.0.0,,,,true,,
165.236.185.227,165.236.191.255,165.236.0.0,true,,,,,
177.155.238.24,177.155.238.24,177.155.0.0,,,,true,,
78.134.91.40,78.134.91.40,78.134.0.0,,,,true,,
193.38.140.7,193.38.140.7,193.38.0.0,true,,,,,
185.3.169.36,185.3.169.37,185.3.0.0,,,,true,,
3.14.241.150,3.14.241.175,3.14.0.0,true,,,,,
91.200.225.4,91.200.225.4,91.200.0.0,,,,true,,
2a0d:df45:c000::,2a0d:df45:ffff:ffff:ffff:ffff:ffff:ffff,2a0d:df45:c000::,true,,,,,
44.234.220.77,44.234.221.93,44.234.0.0,true,,,,,
198.52.193.54,198.52.193.54,198.52.0.0,true,,,true,,
1.160.158.242,1.160.158.242,1.160.0.0,,,,true,,
216.123.216.226,216.123.216.226,216.123.0.0,,,,true,,
190.108.219.26,190.108.219.26,190.108.0.0,,,,true,,
191.250.185.231,191.250.185.231,191.250.0.0,,,,true,,
93.148.175.146,93.148.175.146,93.148.0.0,,,,true,,
157.97.56.210,157.97.56.210,157.97.0.0,,,,true,,
42.126.95.106,42.126.95.106,42.126.0.0,,,,true,,
153.135.200.246,153.135.200.246,153.135.0.0,,,,true,,
193.227.199.69,193.227.199.69,193.227.0.0,,,,true,,
52.17.23.170,52.17.24.116,52.17.0.0,true,,,,,
153.167.153.81,153.167.153.81,153.167.0.0,,,,true,,
18.210.126.151,18.210.126.211,18.210.0.0,true,,,,,
82.200.231.108,82.200.231.108,82.200.0.0,,,,true,,
124.103.11.58,124.103.11.58,124.103.0.0,,,,true,,
83.43.233.57,83.43.233.57,83.43.0.0,,,,true,,
167.99.31.115,167.99.31.152,167.99.0.0,true,,,,,
210.5.163.26,210.5.163.26,210.5.0.0,true,,,true,,
84.54.130.169,84.54.130.169,84.54.0.0,,,,true,,
88.215.5.57,88.215.5.57,88.215.0.0,,,,true,,
51.52.161.50,51.52.161.50,51.52.0.0,,,,true,,
50.214.197.189,50.214.197.189,50.214.0.0,,,,true,,
190.104.251.178,190.104.251.178,190.104.0.0,true,,,true,,
197.255.194.19,197.255.194.24,197.255.0.0,,,,true,,
54.156.5.89,54.156.5.116,54.156.0.0,true,,,,,
3.212.255.90,3.212.255.90,3.212.0.0,true,,,true,,
87.252.98.179,87.252.98.179,87.252.0.0,,,,true,,
58.142.104.28,58.142.104.28,58.142.0.0,,,,true,,
32.204.0.0,32.204.255.255,32.204.0.0,true,,,,,
37.110.51.115,37.110.51.115,37.110.0.0,,,,true,,
103.137.84.196,103.137.84.196,103.137.0.0,,,,true,,
23.242.210.10,23.242.210.10,23.242.0.0,,,,true,,
